,original_text,cleaned_text,true_expert
329,"кроме этого, в 2022 году организована инвентаризация используемых средств защиты информации, проведена оценка уровня защищенности информационных систем компании и начаты мероприятия по импортозамещению зарубежных средств защиты информации. мероприятия по переходу на отечественные решения иб заложены в новую стратегию иб на 2023–2025 годы.",кроме 2022 год организовать инвентаризация использовать средство защита информация провести оценка уровень защищённость информационный система компания начать мероприятие импортозамещение зарубежный средство защита информация мероприятие переход отечественный решение иб заложить новый стратегия иб 2023–2025 год,Кибербезопасность
330,2022 год стал беспрецедентным по количеству кибератак на корпоративную инфраструктуру. в основном они были направлены на уничтожение программного обеспечения и вывод из строя оборудования. благодаря проактивному подходу компании к построению системы информационной безопасности кибератаки не привели к простоям критически важных бизнес-процессов.,2022 год стать беспрецедентный количество кибератака корпоративный инфраструктура основное направить уничтожение программный обеспечение вывод строй оборудование благодаря проактивный подход компания построение система информационный безопасность кибератака привести простой критически важный,Кибербезопасность
331,"информационная безопасность и защита персональных данных клиентов являются нашими ключевыми приоритетами. риски несвоевременного предоставления, искажения, утраты или несанкционированного разглашения данных негативно сказываются на благополучии клиентов, устойчивости целых секторов экономики и, как следствие, на репутации компании.",информационный безопасность защита персональный данные клиент являться наш ключевой приоритет риск несвоевременный предоставление искажение утрата несанкционированный разглашение данные негативно сказываться благополучие клиент устойчивость целый сектор экономика следствие репутация компания,Кибербезопасность
332,"принципы билайн в области информационной безопасности: • обеспечение непрерывности предоставления услуг клиентам; • недопущение искажения, блокировки и уничтожения данных; • обеспечение конфиденциальности информации; • предоставление доступа к информации на основе принципа «need to know»;41 • защита клиентов от киберугроз; • согласование целей информационной безопасности с бизнес-стратегией компании; • поддержка стратегии цифровой трансформации для гарантирования безопасности активов; • соответствие требованиям российского и международного законодательства; • постоянное совершенствование системы информационной безопасности.",принцип область информационный безопасность обеспечение непрерывность предоставление услуга клиент недопущение искажение блокировка уничтожение данные обеспечение конфиденциальность информация предоставление доступ информация основа принцип need to know 41 защита клиент киберугроза согласование цель информационный безопасность компания поддержка стратегия цифровой трансформация гарантирование безопасность актив соответствие требование российский международный законодательство постоянный совершенствование система информационный безопасность,Кибербезопасность
333,"в 2022 году компания подтвердила свое соответствие стандарту безопасности платежных систем, успешно пройдя ежегодную сертификацию pci dss v3.2.1, а также продлила аттестат соответствия транспортной сети ip/mpls требованиям защищенности по классу 1г. также компания обладает лицензией фстэк россии на деятельность по технической защите конфиденциальной информации и лицензией фсб россии на деятельность по разработке, производству, распространению шифровальных (криптографических) средств, информационных систем и телекоммуникационных систем, защищенных с использованием таких средств.",2022 год компания подтвердить свой соответствие стандарт безопасность платёжный система успешно пройти ежегодный сертификация pci dss v3.2.1 также продлить аттестат соответствие транспортный сеть ip/mpls требование защищённость класс 1г также компания обладать лицензия фстэк россия деятельность технический защита конфиденциальный информация лицензия фсб россия деятельность разработка производство распространение шифровальный криптографический средство информационный система телекоммуникационный система защитить использование такой средство,Кибербезопасность
334,"ежегодный прирост кибератак по всему миру составляет 40-50%. вызовы последних лет, связанные с переходом на удаленный режим работы во время пандемии, санкционным давлением и усложнением геополитической обстановки, ускорили рост интенсивности киберугроз, сопровождающий мировую цифровизацию.  в компании существует специализированное подразделение, которое осуществляет реагирование на инциденты информационной безопасности в режиме 24/7 — ситуационный центр кибербезопасности (security operation center, soc). сотрудники soc работают согласно заранее разработанным сценариям реагирования (playbook'и) и в целях автоматизации используют также инструмент категории soar (security orchestration, automation, and response).",ежегодный прирост кибератака весь мир составлять вызов последний год связанный переход удалённый режим работа время пандемия санкционный давление усложнение геополитический обстановка ускорить рост интенсивность киберугроза сопровождать мировой цифровизация компания существовать специализировать подразделение который осуществлять реагирование инцидент информационный безопасность режим 24/7 ситуационный центр кибербезопасность security operation center soc сотрудник soc работать согласно заранее разработать сценарий реагирование playbook цель автоматизация использовать также инструмент категория soar security orchestration automation and response,Кибербезопасность
335,"в ходе разработки/изменений информационных систем компании все решения оцениваются с точки зрения информационной безопасности на наличие возможных уязвимостей и соблюдение требований в области информационной безопасности. предлагаются к реализации соответствующие контрольные процедуры по защите данных и информационных систем, проводится оценка остаточных рисков, которые при необходимости принимаются владельцами соответствующих бизнес-процессов.",ход разработки/изменение информационный система компания решение оцениваться точка зрение информационный безопасность наличие возможный уязвимость соблюдение требование область информационный безопасность предлагаться реализация соответствующий контрольный процедура защита данные информационный система проводиться оценка остаточный риск который необходимость приниматься владелец соответствующий,Кибербезопасность
336,"в структуре департамента информационной безопасности выделено подразделение, которое отвечает за функционирование процесса управления рисками информационной безопасности. кроме того, в 2022 году был разработан порядок управления рисками информационной безопасности.",структура департамент информационный безопасность выделить подразделение который отвечать функционирование процесс управление риск информационный безопасность кроме 2022 год разработать порядок управление риск информационный безопасность,Кибербезопасность
337,"основные торговые сети и бизнес-единицы проводят процедуру самооценки по рискам и контролю (risk and control self assessment, rcsa), по результатам которой составляется план действий (action plan).",основной торговый сеть проводить процедура самооценка риск контроль risk and control self assessment rcsa результат который составляться план действие action plan,Кибербезопасность
338,"в целях своевременного реагирования и мониторинга угроз для информационной безопасности в 2022 году была создана группа реагирования на инциденты в области информационной безопасности. ее участники — как эксперты внутренних подразделений компании, так и внешние специалисты фирм, специализирующихся на информационной безопасности, — сейчас занимаются анализом информационной безопасности, а также проверкой ит-инфраструктуры на предприятиях и в информационных системах. результатом такой деятельности является регулярная разработка рекомендаций по повышению информационной безопасности.",цель своевременный реагирование мониторинг угроза информационный безопасность 2022 год создать группа реагирование инцидент область информационный безопасность участник эксперт внутренний подразделение компания внешний специалист фирма специализироваться информационный безопасность заниматься анализ информационный безопасность также проверка предприятие информационный система результат деятельность являться регулярный разработка рекомендация повышение информационный безопасность,Кибербезопасность
339,"процессы управления информационной безопасностью ежегодно изучаются внешними аудиторами. внутренние подразделения по информационной безопасности проводят аудит ит-инфраструктуры отдельных предприятий и информационных систем. по результатам проведенных мероприятий готовятся рекомендации по повышению уровня безопасности ит-инфраструктуры. так, за отчетный период на внешнем периметре было выявлено 135 уязвимостей, все из которых были устранены.",процесс управление информационный безопасность ежегодно изучаться внешний аудитор внутренний подразделение информационный безопасность проводить аудит отдельный предприятие информационный система результат провести мероприятие готовиться рекомендация повышение уровень безопасность отчётный период внешний периметр выявить 135 уязвимость который устранить,Кибербезопасность
340,"sasb: if-eu-550a.1 эн+ ответственно относится к соблюдению сотрудниками стандартов по информационной безопасности. правила работы с электронными вычислительными средствами содержат соответствующие требования, обновляемые на ежегодной основе. для обеспечения соблюдения правил компания проводит регулярные внутренние тренинги для широкого круга участников на интернет-портале корпоративного университета. критерии соответствия правилам работы с электронными вычислительными средствами являются частью оценки эффективности работы сотрудников. в случае нарушений правил информационной безопасности сотрудники могут сообщать о них в уполномоченные подразделения. кроме того, эн+ повышает уровень информированности о вопросах информационной безопасности посредством рассылки регулярных информационных бюллетеней и примеров фишинговых электронных сообщений.",sasb -550a.1 эн+ ответственно относиться соблюдение сотрудник стандарт информационный безопасность правило работа электронный вычислительный средство содержать соответствующий требование обновлять ежегодный основа обеспечение соблюдение правило компания проводить регулярный внутренний тренинг широкий круг участник корпоративный университет критерий соответствие правило работа электронный вычислительный средство являться часть оценка эффективность работа сотрудник случай нарушение правило информационный безопасность сотрудник мочь сообщать уполномоченный подразделение кроме эн+ повышать уровень информированность вопрос информационный безопасность посредством рассылка регулярный информационный бюллетень пример фишинговый электронный сообщение,Кибербезопасность
341,"в отчетном году в компании было выявлено 110 существенных случаев несоблюдения правил и норм информационной безопасности. к таким нарушениям информационной безопасности, в частности, относятся: - несвоевременная блокировка учетной записи; - использование неутвержденного программного обеспечения; - непоследовательное предоставление пользователям расширенных прав доступа; - подключение персональных устройств; - раскрытие учетных данных в результате перехода по фишинговой ссылке; - передача пароля учетной записи (использование чужой учетной записи); - использование корпоративных ресурсов в личных целях; - отправка служебной информации на личные внешние электронные адреса; - обмен конфиденциальной информацией без шифровальных средств; - игнорирование требований специалистов по информационной безопасности касательно устранения нарушений; - нарушение требований в области информационной безопасности при организации доступа к ресурсам, в том числе опубликованным сторонними организациями.",отчётный год компания выявить 110 существенный случай несоблюдение правило норма информационный безопасность такой нарушение информационный безопасность частность относиться - несвоевременный блокировка учётный запись - использование неутверждённый программный обеспечение - непоследовательный предоставление пользователь расширить право доступ - подключение персональный устройство - раскрытие учётный данные результат переход фишинговый ссылка - передача пароль учётный запись использование чужой учётный запись - использование корпоративный ресурс личный цель - отправка служебный информация личный внешний электронный адрес - обмен конфиденциальный информация шифровальный средство - игнорирование требование специалист информационный безопасность касательно устранение нарушение - нарушение требование область информационный безопасность организация доступ ресурс число опубликовать сторонний организация,Кибербезопасность
342,"по каждому нарушению эн+ проводила тщательную проверку. в соответствии c порядком планирования и реализации мер в области информационной безопасности были выявлены причины инцидентов, приняты технические и дисциплинарные меры по предотвращению подобных ситуаций в будущем. в рамках плана обеспечения непрерывности деятельности, который включает план восстановления после чрезвычайных ситуаций, были определены процедуры реагирования на инциденты в области информационной безопасности, а также процедуры и периодичность проверок.",каждый нарушение эн+ проводить тщательный проверка соответствие c порядок планирование реализация мера область информационный безопасность выявить причина инцидент принять технический дисциплинарный мера предотвращение подобный ситуация будущее рамка план обеспечение непрерывность деятельность который включать план восстановление чрезвычайный ситуация определить процедура реагирование инцидент область информационный безопасность также процедура периодичность проверка,Кибербезопасность
343,"осознавая важность и необходимость обеспечения безопасности информационных и промышленных систем автоматизированного управления, в 2022 году компания продолжила активную работу, направленную на выполнение требований законодательства по защите критической информационной инфраструктуры и взаимодействию с государственными регулирующими органами. с учетом требований федерального закона от 26 июля 2017 года № 187-фз «о безопасности критической информационной инфраструктуры российской федерации» и политики компании по обеспечению информационной безопасности, большое внимание уделяется построению внутренних процессов для выполнения требований нормативных документов и необходимым техническим мероприятиям. с этой целью проведена значительная работа по реализации технических мер защиты объектов критической информационной инфраструктуры и внедрения системы безопасности объектов критической информационной инфраструктуры.",осознавать важность необходимость обеспечение безопасность информационный промышленный система автоматизированный управление 2022 год компания продолжить активный работа направить выполнение требование законодательство защита критический информационный инфраструктура взаимодействие государственный регулировать орган учёт требование федеральный закон 26 июль 2017 год безопасность критический информационный инфраструктура российский федерация политика компания обеспечение информационный безопасность большой внимание уделяться построение внутренний процесс выполнение требование нормативный документ необходимый технический мероприятие цель провести значительный работа реализация технический мера защита объект критический информационный инфраструктура внедрение система безопасность объект критический информационный инфраструктура,Кибербезопасность
344,"компания убеждена, что информация является важнейшим активом современного бизнеса и способствует повышению конкурентоспособности. в связи с этим начиная с 2015 года евраз уделяет повышенное внимание информационной безопасности, под которой понимает состояние защищенности своих интересов от угроз в информационной сфере благодаря конфиденциальности, целостности и доступности ит-активов.",компания убедить являться важный актив современный бизнес способствовать повышение конкурентоспособность связь это начинать 2015 год евраз уделять повышенный внимание информационный безопасность который понимать состояние защищённость свой интерес угроза информационный сфера благодаря конфиденциальность целостность доступность,Кибербезопасность
345,"в компании принято более 50 внутренних документов по информационной безопасности, которые регулируют как базовые, так и специфические вопросы, например, порядок настройки операционных систем. к числу этих документов относятся долгосрочная программа мероприятий, стандарты, регламенты, положения, инструкции, планы обеспечения непрерывности бизнеса. евраз следит за актуальностью внутренних документов, периодически проверяет их эффективность и непротиворечивость.",компания принять 50 внутренний документ информационный безопасность который регулировать базовый специфический вопрос например порядок настройка операционный система число этот документ относиться долгосрочный программа мероприятие стандарт регламент положение инструкция план обеспечение непрерывность бизнес евраз следить актуальность внутренний документ периодически проверять эффективность непротиворечивость,Кибербезопасность
346,"в 2018 году президент компании утвердил корпоративную политику информационной безопасности. ее действие распространяется на всех сотрудников, имеющих доступ к информационным активам евраза, а положения учитываются в отношениях с контрагентами и другими третьими лицами.",2018 год президент компания утвердить корпоративный политика информационный безопасность действие распространяться сотрудник иметь доступ информационный актив евраз положение учитываться отношение контрагент другой третий лицо,Кибербезопасность
347,"помимо внутренних документов, компания соблюдает требования федерального закона от 26 июля 2017 года № 187-фз «о безопасности критической информационной инфраструктуры российской федерации», других применимых нормативных актов, а также международного стандарта iso 27001. раз в два года в евразе проводится аудит системы информационной безопасности на соответствие требованиям данного стандарта. аудит включает в себя проверку процессов управления и тест на проникновение в корпоративную ит-систему (имитация действий хакеров). последний на сегодняшний день аудит был проведен в 2021 году, он подтвердил достаточно высокую степень соответствия системы компании стандарту iso 27001. в настоящее время заключается договор на проведение очередного аудита.",помимо внутренний документ компания соблюдать требование федеральный закон 26 июль 2017 год безопасность критический информационный инфраструктура российский федерация другой применимый нормативный акт также международный стандарт iso 27001. год евраз проводиться аудит система информационный безопасность соответствие требование данный стандарт аудит включать проверка процесс управление тест проникновение корпоративный имитация действие хакер последний сегодняшний день аудит провести 2021 год подтвердить достаточно высокий степень соответствие система компания стандарт iso 27001. настоящий время заключаться договор проведение очередной аудит,Кибербезопасность
348,"в евразе создана и функционирует система управления информационной безопасностью, в структуру которой вовлечен ряд подразделений и ответственных лиц. основное профильное подразделение — отдел обеспечения безопасности информационных систем, начальнику которого также подчиняется отдел евразтехники (ит) по информационной безопасности. начальник отдела в свою очередь подчиняется вице-президенту компании по ит. основным функционалом отдела обеспечения безопасности информационных систем является:  определение методологии и контроль выполнения требований информационной безопасности как в текущей, так и в проектной деятельности,  оценка рисков информационной безопасности,  взаимодействие с государственными органами в части вопросов информационной безопасности,  взаимодействие с комитетом по информационной безопасности,  участие в расследовании инцидентов. отдел информационной безопасности евразтехники (ит) обеспечивает:  функционирование центра мониторинга информационной безопасности,  участие в проектной деятельности в сфере контроля выполнения требований информационной безопасности,  ведение процесса управления уязвимостями.",евраз создать функционировать управление информационный безопасность структура который вовлечь ряд подразделение ответственный лицо основный профильный подразделение отдел обеспечение безопасность информационный система начальник который также подчиняться отдел евразтехник ит информационный безопасность начальник отдел очередь подчиняться компания ит основный функционал отдел обеспечение безопасность информационный система являться определение методология контроль выполнение требование информационный безопасность текущий проектный деятельность оценка риск информационный безопасность взаимодействие государственный орган часть вопрос информационный безопасность взаимодействие комитет информационный безопасность участие расследование инцидент отдел информационный безопасность евразтехник ит обеспечивать функционирование центр мониторинг информационный безопасность участие проектный деятельность сфера контроль выполнение требование информационный безопасность ведение процесс управление уязвимость,Кибербезопасность
349,"как правило, раз в квартал проводятся заседания комитета по информационной безопасности, в который входят президент евраза в качестве председателя и вице-президенты.",правило квартал проводиться заседание комитет информационный безопасность который входить президент евраз качество председатель,Кибербезопасность
350,"на заседаниях рассматриваются вопросы, связанные с критическими корпоративными рисками, новостями и трендами информационной безопасности, а также вопросы, требующие стратегических решений.",заседание рассматриваться вопрос связанный критический корпоративный риск новость тренд информационный безопасность также вопрос требовать стратегический решение,Кибербезопасность
351,"в 2022 году сбербанк стал одной из главных целей кибератак злоумышленников. за 2022 год было зафиксировано 490 ddos-атак на инфраструктуру сбербанка, что в 3 раза больше, чем в 2021 году. 6 мая 2022 года киберпреступники побили рекорд по мощности атак на сбербанк — самая мощная атака была сгенерирована бот-сетью из десятков тысяч устройств и составила 454 гбит/с. все атаки на сбербанк в 2022 году были успешно отражены, недоступность финансовых сервисов вследствие кибератак не зафиксирована. ",2022 год стать один главный цель кибератака злоумышленник 2022 год зафиксировать 490 инфраструктура сбербанк 3 раз 2021 год 6 май 2022 год киберпреступник побить рекорд мощность атака самый мощный атака сгенерировать десяток тысяча устройство составить 454 гбит/с атака 2022 год успешно отразить недоступность финансовый сервис вследствие кибератака зафиксировать,Кибербезопасность
352,"с начала 2022 года в россии успешно отражено почти 50 тыс. кибератак, зафиксировано и устранено 1,6 тыс. инцидентов, а в марте 2022 года на сбербанк совершено на 40% ddos-атак больше, чем за весь 2021 год. по данным сбербанка: на социальную инженерию приходится 90% всех финансовых преступлениий, из которых 94% — это телефонное мошенничество.","начало 2022 год россия успешно отразить 50 тыс кибератака зафиксировать устранить 1,6 тыс инцидент март 2022 год совершить 40 весь 2021 год данные сбербанк социальный инженерия приходиться 90 финансовый преступлениия который 94 это телефонный мошенничество",Кибербезопасность
353,"в 2022 году сбербанк завершил проект по подключению антифрод-систем основных операторов сотовой связи к своей системе транзакционного антифрода, что позволило увидеть всю картину по мошенническим звонкам. так, по оценке сбербанка, в 2022 году мошенники совершили 1,5 млрд попыток звонков клиентам банков с целью похищения денежных средств. в течение второго полугодия 2022 года только в сбербанке такие попытки затронули более 65% клиентской базы. в день совершается около 5 млн звонков, в том числе с помощью роботизированных виртуальных ассистентов, которые мошенники используют в своих схемах мошенничества. через инструменты мобильного приложения сбербанк онлайн клиенты пожаловались на 1,8 млн мошеннических звонков.","2022 год завершить проект подключение основный оператор сотовый связь свой система транзакционный антифрод позволить увидеть картина мошеннический звонок оценка сбербанк 2022 год мошенник совершить 1,5 млрд попытка звонок клиент банк цель похищение денежный средство течение второй полугодие 2022 год сбербанк такой попытка затронуть 65 клиентский база день совершаться 5 млн звонок число помощь роботизированный виртуальный ассистент который мошенник использовать свой схема мошенничество инструмент мобильный приложение онлайн клиент пожаловаться 1,8 млн мошеннический звонок",Кибербезопасность
